URI,Citation URI,Item Label,Project Label,Project URI,Context (1),Context (2),Context (3),Context (4),Context URI,Latitude (WGS-84),Longitude (WGS-84),Early BCE/CE,Late BCE/CE,Item Category,Published Date,Updated Date,Has type,Temporal Coverage,Spot Date End,Spot Date Start,Spot Date End Suffix,Spot Date Start Suffix,Spot Date Ceramic Class
"http://opencontext.org/subjects/9a4b43a7-76d7-44d6-b793-fa8f7fb0ce82","false","SD 1120","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1168","http://opencontext.org/subjects/413e21e7-1b6b-4d87-ba8c-ecb3b8cc36df","41.88777038147023","12.719595671146868","-100","70","Pottery","2017-06-04T23:42:13Z","2018-01-31T08:27:45Z","","Roman Republican; Roman Imperial","70","100","AD","BC","Commonware"
"http://opencontext.org/subjects/21be2bbf-abd8-4142-a6f7-2ece43f24467","false","SD 515","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area F","Unit 5016","http://opencontext.org/subjects/92fe6064-ea37-4b00-a0fb-8ee9a92c25d8","41.88766461765268","12.719557258948585","-25","150","Pottery","2017-06-04T23:42:49Z","2018-01-31T08:29:15Z","amphorae (storage vessels)","Roman Republican; Roman Imperial","150","25","AD","BC","Amphora"
"http://opencontext.org/subjects/c93088dc-30a7-4b6e-9adc-05f263e569c0","false","SD 1243","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1242","http://opencontext.org/subjects/4d680e71-b622-42eb-9577-bd0eec2a8251","41.88774442934475","12.719486146888293","-160","-150","Pottery","2017-06-04T23:42:44Z","2018-01-31T08:20:39Z","lamps (lighting devices)","Roman Republican; Roman Imperial","150","160","BC","BC","Lamp"
"http://opencontext.org/subjects/dbe1a83e-e1ba-40d2-9406-12f222abf439","false","SD 3651","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1279","http://opencontext.org/subjects/ba5caaf1-6319-49e9-a7e8-91dde1836789","41.88778368756553","12.719652448529791","-400","-130","Pottery","2017-06-04T23:43:15Z","2018-01-31T08:16:54Z","amphorae (storage vessels)","Roman Republican; Roman Imperial","130","400","BC","BC","Amphora"
"http://opencontext.org/subjects/eb65f5fb-2dbf-4b09-95b8-9bf1b9304337","false","SD 3695","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1385","http://opencontext.org/subjects/2774e987-5bf3-418c-95fc-3d8f9323546e","41.88773984511231","12.719702821605965","-400","130","Pottery","2017-06-04T23:42:17Z","2018-01-31T08:30:43Z","amphorae (storage vessels)","Roman Republican; Roman Imperial","130","400","AD","BC","Amphora"
"http://opencontext.org/subjects/3e7b749e-e70e-4211-9f61-eab5c93fc032","false","SD 962","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1016","http://opencontext.org/subjects/2562ba6f-4ff8-4bc6-82f5-b7c5df8cd165","41.887809041304415","12.719615546066272","70","150","Pottery","2017-06-04T23:43:02Z","2018-01-31T08:25:24Z","lamps (lighting devices)","Roman Republican; Roman Imperial","150","70","AD","AD","Lamp"
"http://opencontext.org/subjects/a4d6ddec-5420-424a-977b-6aa19f78084e","false","SD 959","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1016","http://opencontext.org/subjects/2562ba6f-4ff8-4bc6-82f5-b7c5df8cd165","41.887809041304415","12.719615546066272","70","100","Pottery","2017-06-04T23:43:02Z","2018-01-31T08:25:23Z","lamps (lighting devices)","Roman Republican; Roman Imperial","100","70","AD","AD","Lamp"
"http://opencontext.org/subjects/f115d3b2-d146-4426-b743-7e6d710eabde","false","SD 960","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1016","http://opencontext.org/subjects/2562ba6f-4ff8-4bc6-82f5-b7c5df8cd165","41.887809041304415","12.719615546066272","-100","1","Pottery","2017-06-04T23:43:02Z","2018-01-31T08:25:23Z","lamps (lighting devices)","Roman Republican; Roman Imperial","0","100","AD","BC","Lamp"
"http://opencontext.org/subjects/4224ceb5-91c7-48d6-b210-fda508010017","false","SD 89","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1384","http://opencontext.org/subjects/4919839f-17b6-4e2b-aad6-91a32044020f","41.887663003612595","12.719609315107887","-200","-100","Pottery","2017-06-04T23:43:20Z","2018-01-31T08:17:51Z","","Roman Republican; Roman Imperial","100","200","BC","BC","Black Gloss"
"http://opencontext.org/subjects/5e7afc38-f12d-4caf-8f81-adb8f81f4a22","false","SD 1053","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1180","http://opencontext.org/subjects/c88f9193-8157-4fda-96c6-0517f1e67f8c","41.88775133024571","12.71963698458005","-500","-400","Pottery","2017-06-04T23:42:25Z","2018-01-31T08:32:12Z","bucchero ware","Roman Republican; Roman Imperial","400","500","BC","BC","Bucchero"
"http://opencontext.org/subjects/fa7a6023-85d8-4184-b004-da4e12f9ae1f","false","SD 958","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1016","http://opencontext.org/subjects/2562ba6f-4ff8-4bc6-82f5-b7c5df8cd165","41.887809041304415","12.719615546066272","40","80","Pottery","2017-06-04T23:43:03Z","2018-01-31T08:25:22Z","lamps (lighting devices)","Roman Republican; Roman Imperial","80","40","AD","AD","Lamp"
"http://opencontext.org/subjects/32c9d58b-3872-4f3c-b67c-a84b1c87a646","false","SD 87","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1384","http://opencontext.org/subjects/4919839f-17b6-4e2b-aad6-91a32044020f","41.887663003612595","12.719609315107887","-400","-100","Pottery","2017-06-04T23:43:20Z","2018-01-31T08:17:51Z","","Roman Republican; Roman Imperial","100","400","BC","BC","Black Gloss"
"http://opencontext.org/subjects/4fc953a0-f588-4171-beac-c89c2555d76c","false","SD 287","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1338","http://opencontext.org/subjects/a5594ec7-a567-46c5-b0ca-b3ade70f01e3","41.88778073929415","12.719599632244629","-150","-1","Pottery","2017-06-04T23:43:20Z","2018-01-31T08:29:33Z","","Roman Republican; Roman Imperial","1","150","BC","BC","Commonware"
"http://opencontext.org/subjects/eadafd03-fa69-4a92-b6d2-171aa930391b","false","SD 965","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1016","http://opencontext.org/subjects/2562ba6f-4ff8-4bc6-82f5-b7c5df8cd165","41.887809041304415","12.719615546066272","100","400","Pottery","2017-06-04T23:43:00Z","2018-01-31T08:25:25Z","","Roman Republican; Roman Imperial","400","100","AD","AD","African Cookware"
"http://opencontext.org/subjects/ee675702-df7c-4b2f-8437-4fc65c501afb","false","SD 1056","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1181","http://opencontext.org/subjects/9c0c1261-c119-4363-a711-ff71c2435ec2","41.88774649760242","12.71964741026262","-300","-200","Pottery","2017-06-04T23:42:42Z","2018-01-31T08:19:00Z","","Roman Republican; Roman Imperial","200","300","BC","BC","Black Gloss"
"http://opencontext.org/subjects/282b7384-6f32-40a3-bb3c-6afdf99fcb06","false","SD 963","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1016","http://opencontext.org/subjects/2562ba6f-4ff8-4bc6-82f5-b7c5df8cd165","41.887809041304415","12.719615546066272","1","200","Pottery","2017-06-04T23:43:03Z","2018-01-31T08:25:24Z","","Roman Republican; Roman Imperial","200","0","AD","AD","African Cookware"
"http://opencontext.org/subjects/bbceeb6d-7f7d-4302-8725-8f46326d5d80","false","SD 964","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1016","http://opencontext.org/subjects/2562ba6f-4ff8-4bc6-82f5-b7c5df8cd165","41.887809041304415","12.719615546066272","1","150","Pottery","2017-06-04T23:43:01Z","2018-01-31T08:25:24Z","","Roman Republican; Roman Imperial","150","0","AD","AD","African Cookware"
"http://opencontext.org/subjects/852b7f28-3f62-4afb-b79e-bbc554e27ff1","false","SD 288","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1338","http://opencontext.org/subjects/a5594ec7-a567-46c5-b0ca-b3ade70f01e3","41.88778073929415","12.719599632244629","-150","-50","Pottery","2017-06-04T23:43:20Z","2018-01-31T08:29:34Z","","Roman Republican; Roman Imperial","50","150","BC","BC","Commonware"
"http://opencontext.org/subjects/aaa09722-9657-4470-a985-17339820c971","false","SD 276","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1428","http://opencontext.org/subjects/12420475-1cfa-4110-bad0-27ec5055f11c","41.88773219506493","12.719660847600519","-275","-175","Pottery","2017-06-04T23:42:28Z","2018-01-31T08:34:52Z","","Roman Republican; Roman Imperial","175","275","BC","BC","Commonware"
"http://opencontext.org/subjects/f60b0946-1128-4c9e-8bfa-6dcc38548620","false","SD 277","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1428","http://opencontext.org/subjects/12420475-1cfa-4110-bad0-27ec5055f11c","41.88773219506493","12.719660847600519","-225","-175","Pottery","2017-06-04T23:42:30Z","2018-01-31T08:34:53Z","","Roman Republican; Roman Imperial","175","225","BC","BC","Commonware"
"http://opencontext.org/subjects/d0c1e3cd-e1f8-43ce-80f9-e67a14a040eb","false","SD 292","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1465","http://opencontext.org/subjects/8dca1b58-0bbd-4019-b7c8-9fe780dcd02d","41.88772311579104","12.719785702448181","-400","-300","Pottery","2017-06-04T23:43:09Z","2018-01-31T08:26:22Z","","Roman Republican; Roman Imperial","300","400","BC","BC","Commonware"
"http://opencontext.org/subjects/33875fbc-2bb2-4f6c-a623-d4f61b7ef3c8","false","SD 1238","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1232","http://opencontext.org/subjects/5f06f8da-6f0d-4ba7-94aa-e12518ef3ae7","41.887734398949114","12.719494205151307","1","200","Pottery","2017-06-04T23:43:28Z","2018-01-31T08:24:42Z","","Roman Republican; Roman Imperial","200","0","AD","AD","Commonware"
"http://opencontext.org/subjects/44a4cdea-bc31-4ef5-aec2-2f59591500e6","false","SD 1057","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1181","http://opencontext.org/subjects/9c0c1261-c119-4363-a711-ff71c2435ec2","41.88774649760242","12.71964741026262","-200","1","Pottery","2017-06-04T23:42:43Z","2018-01-31T08:19:00Z","","Roman Republican; Roman Imperial","0","200","AD","BC","Black Gloss"
"http://opencontext.org/subjects/ec74624d-dc7e-4aaa-9eb4-19bf0e05eb79","false","SD 3656","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1279","http://opencontext.org/subjects/ba5caaf1-6319-49e9-a7e8-91dde1836789","41.88778368756553","12.719652448529791","-250","-190","Pottery","2017-06-04T23:43:15Z","2018-01-31T08:16:56Z","","Roman Republican; Roman Imperial","190","250","BC","BC","Black Gloss"
"http://opencontext.org/subjects/e286b10e-740a-4d13-812b-97c36873b5fe","false","SD 3683","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1384","http://opencontext.org/subjects/4919839f-17b6-4e2b-aad6-91a32044020f","41.887663003612595","12.719609315107887","-100","-25","Pottery","2017-06-04T23:43:21Z","2018-01-31T08:17:45Z","","Roman Republican; Roman Imperial","25","100","BC","BC","Commonware"
"http://opencontext.org/subjects/0fcb1013-f881-4cf9-9e03-870e8a914054","false","SD 82","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1384","http://opencontext.org/subjects/4919839f-17b6-4e2b-aad6-91a32044020f","41.887663003612595","12.719609315107887","-200","-25","Pottery","2017-06-04T23:43:25Z","2018-01-31T08:17:49Z","","Roman Republican; Roman Imperial","25","200","BC","BC","Commonware"
"http://opencontext.org/subjects/fce13172-c3eb-480c-a844-c1a2769fbb52","false","SD 3648","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1279","http://opencontext.org/subjects/ba5caaf1-6319-49e9-a7e8-91dde1836789","41.88778368756553","12.719652448529791","-400","-100","Pottery","2017-06-04T23:43:15Z","2018-01-31T08:16:53Z","","Roman Republican; Roman Imperial","100","400","BC","BC","Impasto Chiaro Sabbioso"
"http://opencontext.org/subjects/55be39ca-0af5-4cc8-a468-6a0341da8865","false","SD 3655","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1279","http://opencontext.org/subjects/ba5caaf1-6319-49e9-a7e8-91dde1836789","41.88778368756553","12.719652448529791","-350","-275","Pottery","2017-06-04T23:43:14Z","2018-01-31T08:16:56Z","","Roman Republican; Roman Imperial","275","350","BC","BC","Black Gloss"
"http://opencontext.org/subjects/a0945849-7a6b-4f37-b37f-5b8111b59dc2","false","SD 33","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1320","http://opencontext.org/subjects/0a680f58-7903-49db-8481-14dd33a43908","41.887670064319835","12.719599828489242","-305","-265","Pottery","2017-06-04T23:43:10Z","2018-01-31T08:22:37Z","","Roman Republican; Roman Imperial","265","305","BC","BC","Black Gloss"
"http://opencontext.org/subjects/08427409-8e89-4bcb-9fb8-90a406fa1e8b","false","SD 3632","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1222","http://opencontext.org/subjects/919bdaf7-49fe-4293-9fb1-c80d59890733","41.887736984862215","12.719521939487443","-200","-100","Pottery","2017-06-04T23:42:35Z","2018-01-31T08:28:08Z","","Roman Republican; Roman Imperial","100","200","BC","BC","Impasto Chiaro Sabbioso"
"http://opencontext.org/subjects/cafa5774-3b45-40d3-a2cf-f6c3fcbfda96","false","SD 3634","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1222","http://opencontext.org/subjects/919bdaf7-49fe-4293-9fb1-c80d59890733","41.887736984862215","12.719521939487443","-50","800","Pottery","2017-06-04T23:42:35Z","2018-01-31T08:28:09Z","amphorae (storage vessels)","Roman Republican; Roman Imperial","800","50","AD","BC","Amphora"
"http://opencontext.org/subjects/5a944734-458b-4e0e-8d80-4081db75af1a","false","SD 1228","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1165","http://opencontext.org/subjects/8fbe2231-bd46-4a56-9e78-2bc6f8b34fdd","41.88770651046013","12.719583268505867","150","250","Pottery","2017-06-04T23:42:40Z","2018-01-31T08:21:25Z","lamps (lighting devices)","Roman Republican; Roman Imperial","250","150","AD","AD","Lamp"
"http://opencontext.org/subjects/dd0ef880-82a9-4ef2-8d6c-778962cdc645","false","SD 3691","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1384","http://opencontext.org/subjects/4919839f-17b6-4e2b-aad6-91a32044020f","41.887663003612595","12.719609315107887","-200","-100","Pottery","2017-06-04T23:43:21Z","2018-01-31T08:17:48Z","","Roman Republican; Roman Imperial","100","200","BC","BC","Black Gloss"
"http://opencontext.org/subjects/2e021e97-85ff-4ed9-883e-85afd8a0375b","false","SD 3653","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1279","http://opencontext.org/subjects/ba5caaf1-6319-49e9-a7e8-91dde1836789","41.88778368756553","12.719652448529791","-300","-200","Pottery","2017-06-04T23:43:16Z","2018-01-31T08:16:55Z","","Roman Republican; Roman Imperial","200","300","BC","BC","Black Gloss"
"http://opencontext.org/subjects/f895495b-5f70-438c-bde0-6f2f37609ea8","false","SD 88","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1384","http://opencontext.org/subjects/4919839f-17b6-4e2b-aad6-91a32044020f","41.887663003612595","12.719609315107887","-400","-100","Pottery","2017-06-04T23:43:22Z","2018-01-31T08:17:51Z","","Roman Republican; Roman Imperial","100","400","BC","BC","Black Gloss"
"http://opencontext.org/subjects/72936a60-84aa-4ddb-a1ac-c38ec4a0d0c4","false","SD 3689","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1384","http://opencontext.org/subjects/4919839f-17b6-4e2b-aad6-91a32044020f","41.887663003612595","12.719609315107887","-400","-100","Pottery","2017-06-04T23:43:24Z","2018-01-31T08:17:48Z","","Roman Republican; Roman Imperial","100","400","BC","BC","Black Gloss"
"http://opencontext.org/subjects/21cc0df3-7de6-46f7-9a34-156c45881e81","false","SD 517","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area F","Unit 5016","http://opencontext.org/subjects/92fe6064-ea37-4b00-a0fb-8ee9a92c25d8","41.88766461765268","12.719557258948585","41","54","Pottery","2017-06-04T23:42:49Z","2018-01-31T08:29:16Z","","Roman Republican; Roman Imperial","54","41","AD","AD","Commonware"
"http://opencontext.org/subjects/7718ebcf-93a3-44ac-9a7f-a6d0bd4600a5","false","SD 3703","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1385","http://opencontext.org/subjects/2774e987-5bf3-418c-95fc-3d8f9323546e","41.88773984511231","12.719702821605965","-225","-175","Pottery","2017-06-04T23:42:17Z","2018-01-31T08:30:45Z","","Roman Republican; Roman Imperial","175","225","BC","BC","Black Gloss"
"http://opencontext.org/subjects/2171f01c-178e-4c97-af1b-050afc2fd1a8","false","SD 1116","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1218","http://opencontext.org/subjects/133c956e-e020-4d64-8d6e-6a5e41af8de6","41.887773015463324","12.719607186749668","1","100","Pottery","2017-06-04T23:42:47Z","2018-01-31T08:19:16Z","","Roman Republican; Roman Imperial","100","0","AD","AD","Commonware"
"http://opencontext.org/subjects/0e09b478-885b-4480-9201-32c020ae4e5d","false","SD 516","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area F","Unit 5016","http://opencontext.org/subjects/92fe6064-ea37-4b00-a0fb-8ee9a92c25d8","41.88766461765268","12.719557258948585","-26","14","Pottery","2017-06-04T23:42:49Z","2018-01-31T08:29:16Z","","Roman Republican; Roman Imperial","14","26","AD","BC","Thin Walled"
"http://opencontext.org/subjects/81d8b823-fcef-4d03-8f8f-7b2f55b1be9d","false","SD 1443","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1174","http://opencontext.org/subjects/3f221261-a384-4a99-96f6-f025198d381c","41.88771787217752","12.719491470866453","-100","-50","Pottery","2017-06-04T23:42:12Z","2018-01-31T08:19:36Z","","Roman Republican; Roman Imperial","50","100","BC","BC","Black Gloss"
"http://opencontext.org/subjects/abb3ef09-f5d2-48fa-8c7d-edfe6a3d584b","false","SD 1046","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1158","http://opencontext.org/subjects/0281b2b1-930d-41c6-936f-9add56429998","41.88774565602795","12.719642888386941","-425","1","Pottery","2017-06-04T23:42:27Z","2018-01-31T08:31:53Z","","Roman Republican; Roman Imperial","0","425","AD","BC","Italo Megarian"
"http://opencontext.org/subjects/7b1b11b4-3375-419d-9720-8fbf60326534","false","SD 1220","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1158","http://opencontext.org/subjects/0281b2b1-930d-41c6-936f-9add56429998","41.88774565602795","12.719642888386941","-425","1","Pottery","2017-06-04T23:42:27Z","2018-01-31T08:31:55Z","","Roman Republican; Roman Imperial","0","425","AD","BC","Italo Megarian"
"http://opencontext.org/subjects/aa5d4342-9b05-4be5-a2dc-f44ffd1ee8d1","false","SD 3696","The Gabii Project","http://opencontext.org/projects/3585b372-8d2d-436c-9a4c-b5c10fce3ccd","Italy","Gabii","Area B","Unit 1385","http://opencontext.org/subjects/2774e987-5bf3-418c-95fc-3d8f9323546e","41.88773984511231","12.719702821605965","-300","-200","Pottery","2017-06-04T23:42:18Z","2018-01-31T08:30:43Z","","Roman Republican; Roman Imperial","200","300","BC","BC","Black Gloss"
